[956, 0.5]
[956, 0.5]
[1000, 0.5431155607449992]
[956, 0.5768514639018651]
[956, 0.5768514639018651]
[1000, 0.5768514639018651]
[956, 0.6345366102920518]
[956, 0.5821436791670199]
[879, 0.545]
Gen 14: Best Score = 0.1127, Params = [956, 0.5431155607449992]
[956, 0.5431155607449992]
[879, 0.5821436791670199]
[956, 0.5]
[956, 0.5]
[1000, 0.628768095653033]
[956, 0.5431155607449992]
[1000, 0.5768514639018651]
[799, 0.5]
[958, 0.5431155607449992]
[879, 0.545]
[879, 0.545]
[956, 0.5768514639018651]
[1000, 0.5014000000000001]
[956, 0.5821436791670199]
[1000, 0.5]
[956, 0.5431155607449992]
[956, 0.5768514639018651]
[956, 0.5]
[956, 0.5721789670442601]
[1000, 0.5]
Gen 15: Best Score = 0.1136, Params = [879, 0.5355721848336583]
[956, 0.5821436791670199]
[1000, 0.5]
[879, 0.5]
[879, 0.5821436791670199]
[956, 0.628768095653033]
[879, 0.5355721848336583]
[879, 0.5431155607449992]
[1000, 0.5721789670442601]
[956, 0.545]
[1000, 0.5431155607449992]
[956, 0.5821436791670199]
[1000, 0.5]
[1000, 0.5]
[1000, 0.5]
[1000, 0.6853572242618061]
[956, 0.5431155607449992]
[869, 0.5865648056045992]
[956, 0.5]
[879, 0.5821436791670199]
[956, 0.5]
Gen 16: Best Score = 0.1570, Params = [1000, 0.5]
[808, 0.5355721848336583]
[1000, 0.5]
[956, 0.5]
[958, 0.5821436791670199]
[1000, 0.5]
[1000, 0.5]
[879, 0.5821436791670199]
[1000, 0.54]
[879, 0.5297507480419882]
[879, 0.5821436791670199]
[879, 0.5355721848336583]
[900, 0.5]
[1000, 0.5821436791670199]
[1000, 0.5]
[879, 0.5]
[956, 0.5]
[879, 0.5239293112503179]
[1000, 0.5721789670442601]
[1000, 0.5721789670442601]
[879, 0.5]
Gen 17: Best Score = 0.1270, Params = [879, 0.5239293112503179]
[900, 0.5]
[956, 0.5]
[879, 0.5239293112503179]
[956, 0.5]
[879, 0.54]
[1000, 0.5355721848336583]
[956, 0.5]
[879, 0.5206828600102766]
[808, 0.5355721848336583]
[1000, 0.5]
[879, 0.5]
[1000, 0.5]
[956, 0.5]
[1000, 0.545]
[1000, 0.5]
[879, 0.5]
[879, 0.5]
[879, 0.5297507480419882]
[879, 0.5]
[956, 0.5]
Gen 18: Best Score = 0.1737, Params = [879, 0.5]
[879, 0.5]
[958, 0.5355721848336583]
[879, 0.5]
[808, 0.5239293112503179]
[879, 0.5]
[900, 0.5206828600102766]
[879, 0.5]
[791, 0.5727511460113044]
[949, 0.5]
[1000, 0.5]
[1000, 0.545]
[956, 0.5]
[956, 0.5]
[1000, 0.5]
[958, 0.5239293112503179]
[879, 0.5]
[879, 0.5]
[956, 0.5]
[879, 0.5]
[1000, 0.5355721848336583]
Gen 19: Best Score = 0.1384, Params = [949, 0.5]
[949, 0.5]
[879, 0.5]
[879, 0.5]
[880, 0.5239293112503179]
[879, 0.5]
[879, 0.5]
[956, 0.5]
[879, 0.5]
[1000, 0.5]
[956, 0.5]
[900, 0.5206828600102766]
[879, 0.5239293112503179]
[808, 0.5239293112503179]
[1000, 0.545]
[956, 0.5]
