Random seed: 42
[240, 0.9183416185741482]
[218, 0.7376993589350528]
[259, 1.0]
[358, 0.7513704151970303]
[259, 0.7589600153505356]
Gen 15: Best Score = 0.0396, Params = [358, 0.7513704151970303]
[288, 0.7513704151970303]
[259, 0.9]
[218, 0.8265074567167334]
[288, 0.8279454084568493]
[267, 0.7376993589350528]
[233, 0.8348560168855892]
[239, 0.7376993589350528]
[288, 0.9183416185741482]
[316, 0.9183416185741482]
[358, 0.7513704151970303]
[259, 0.7589600153505356]
[240, 0.9183416185741482]
[240, 0.8348560168855892]
[358, 0.7513704151970303]
[358, 0.7513704151970303]
[240, 0.9183416185741482]
[316, 0.9183416185741482]
[267, 0.8114692948285581]
[259, 0.7589600153505356]
[358, 0.7513704151970303]
[316, 0.9183416185741482]
[358, 0.7513704151970303]
[218, 0.7376993589350528]
[196, 0.8348560168855892]
[288, 0.6465891407035464]
[264, 0.7513704151970303]
[358, 0.7513704151970303]
[218, 0.5819302266331918]
[240, 0.7376993589350528]
[322, 0.7513704151970303]
Gen 16: Best Score = 0.0728, Params = [316, 0.9183416185741482]
[288, 0.6465891407035464]
[316, 0.8265074567167334]
[233, 0.8348560168855892]
[316, 0.9183416185741482]
[316, 0.9183416185741482]
[316, 0.9183416185741482]
[259, 0.9183416185741482]
[316, 0.9183416185741482]
[259, 0.7589600153505356]
[316, 0.9183416185741482]
[259, 0.8348560168855892]
[316, 0.8265074567167334]
[316, 0.9183416185741482]
[240, 0.7376993589350528]
[216, 0.7376993589350528]
[218, 0.8265074567167334]
[218, 0.7513704151970303]
[240, 0.7513704151970303]
[209, 0.8348560168855892]
[288, 0.8348560168855892]
[240, 0.9183416185741482]
[358, 0.7513704151970303]
[259, 0.7513704151970303]
[316, 0.8348560168855892]
[233, 0.9183416185741482]
[196, 0.7376993589350528]
[216, 0.7376993589350528]
[288, 0.7513704151970303]
[267, 0.7376993589350528]
[316, 1.0]
Gen 17: Best Score = 0.0844, Params = [316, 1.0]
[316, 0.9183416185741482]
[316, 0.7376993589350528]
[284, 1.0]
[316, 0.8265074567167334]
[316, 0.9183416185741482]
[284, 0.8265074567167334]
[240, 0.9183416185741482]
[316, 0.8265074567167334]
[233, 0.8265074567167334]
[316, 0.9183416185741482]
[316, 0.9183416185741482]
[267, 0.9091582023884068]
[259, 0.7513704151970303]
[284, 0.8348560168855892]
[218, 0.9183416185741482]
[316, 1.0]
[209, 0.8265074567167334]
[316, 0.9183416185741482]
[218, 0.9183416185741482]
[196, 0.7376993589350528]
[322, 0.9183416185741482]
[288, 0.8348560168855892]
[316, 0.9183416185741482]
[240, 0.8265074567167334]
[259, 0.8348560168855892]
[196, 0.7376993589350528]
[209, 0.7376993589350528]
[288, 0.6465891407035464]
[284, 1.0]
[259, 0.7376993589350528]
Gen 18: Best Score = 0.0575, Params = [259, 0.7513704151970303]
[259, 0.8265074567167334]
[209, 0.8265074567167334]
[240, 1.0]
[209, 0.8265074567167334]
[284, 0.8348560168855892]
[255, 0.7513704151970303]
[256, 0.8265074567167334]
[288, 0.8348560168855892]
[316, 0.9183416185741482]
[288, 0.9183416185741482]
[322, 1.0]
[284, 0.9183416185741482]
[259, 0.7513704151970303]
[284, 0.7376993589350528]
[316, 0.8348560168855892]
[284, 0.8265074567167334]
[264, 0.9091582023884068]
[209, 0.9183416185741482]
[196, 0.7376993589350528]
[233, 0.7513704151970303]
[209, 0.8265074567167334]
[312, 1.0]
[288, 0.9183416185741482]
[322, 0.9183416185741482]
[284, 0.7376993589350528]
[259, 0.6762333736773273]
[196, 0.8114692948285581]
[316, 0.8265074567167334]
[259, 0.8348560168855892]
[288, 0.9183416185741482]
Gen 19: Best Score = 0.0417, Params = [316, 0.8348560168855892]
[255, 0.9183416185741482]
[259, 1.0]
[316, 0.7513704151970303]
[312, 0.8265074567167334]
[316, 0.9183416185741482]
[312, 0.9183416185741482]
[316, 0.8265074567167334]
[284, 0.9183416185741482]
[284, 0.9183416185741482]
[316, 0.8348560168855892]
[259, 0.7438567110450601]
[316, 0.8265074567167334]
[256, 0.9183416185741482]
[259, 0.8265074567167334]
[259, 0.7513704151970303]
[280, 1.0]
[284, 0.9183416185741482]
[284, 1.0]
